#	TAS54D	20.4	T IR	T Sens	Mag	Hz	Alt	Azi	Lat	Lon	SL	BAT
52	2025:4:29	2:5:18	-5.23	6.63	20.75	0.73	20	244.00	49.301117	4.970983	181	3.92
53	2025:4:29	2:5:21	-5.65	6.63	20.7	0.76	20	257.00	49.301117	4.970983	181	3.92
54	2025:4:29	2:5:25	-5.47	6.59	20.66	0.79	20	270.00	49.301117	4.970983	181	3.91
55	2025:4:29	2:5:29	-5.47	6.61	20.73	0.74	20	282.00	49.301117	4.970983	181	3.91
56	2025:4:29	2:5:32	-5.55	6.61	20.79	0.7	20	295.00	49.301117	4.970983	181	3.91
57	2025:4:29	2:5:35	-5.73	6.59	20.79	0.7	20	308.00	49.301117	4.970983	181	3.92
58	2025:4:29	2:5:37	-6.13	6.59	20.75	0.72	20	321.00	49.301117	4.970983	181	3.92
59	2025:4:29	2:5:40	-6.19	6.57	20.68	0.77	20	334.00	49.301117	4.970983	181	3.91
60	2025:4:29	2:5:44	-6.47	6.57	20.62	0.82	20	347.00	49.301117	4.970983	181	3.91
61	2025:4:29	2:5:48	-11.01	6.57	20.88	0.64	30	0.00	49.301117	4.970983	181	3.92
62	2025:4:29	2:5:51	-10.97	6.57	20.83	0.67	30	15.00	49.301117	4.970983	181	3.91
63	2025:4:29	2:5:55	-11.29	6.53	20.8	0.69	30	30.00	49.301117	4.970983	181	3.91
64	2025:4:29	2:6:0	-10.79	6.53	20.78	0.71	30	45.00	49.301117	4.970983	181	3.91
65	2025:4:29	2:6:4	-10.97	6.49	20.75	0.72	30	60.00	49.301117	4.970983	181	3.92
66	2025:4:29	2:6:8	-10.49	6.53	20.73	0.74	30	75.00	49.301117	4.970983	181	3.92
67	2025:4:29	2:6:12	-10.71	6.49	20.71	0.75	30	90.00	49.301117	4.970983	181	3.91
68	2025:4:29	2:6:16	-10.67	6.49	20.75	0.72	30	105.00	49.301117	4.970983	181	3.91
69	2025:4:29	2:6:20	-10.41	6.47	20.8	0.69	30	120.00	49.301117	4.970983	181	3.91
70	2025:4:29	2:6:23	-10.31	6.47	20.87	0.65	30	135.00	49.301117	4.970983	181	3.91
71	2025:4:29	2:6:26	-10.41	6.47	20.92	0.62	30	150.00	49.301117	4.970983	181	3.91
72	2025:4:29	2:6:30	-10.27	6.43	20.94	0.61	30	165.00	49.301117	4.970983	181	3.91
73	2025:4:29	2:6:33	-10.27	6.43	20.95	0.6	30	180.00	49.301117	4.970983	181	3.91
